This file was created by CMPT_BEME_RETS using the 201603 CRSP database.,,,
It contains value- and equal-weighted returns for portfolios formed on BE/ME.,,,
,,,
,,,
The portfolios are constructede at the end of June.,,,
,,,
,,,
  Value Weighted Returns -- Monthly,,,
,Lo 30,Med 40,Hi 30
194203,-5.81,-7.33,-6.05
194204,-4.62,-4.46,-2.99
194205,7.32,4.77,0.8
194206,3.02,2.54,2.72
194207,2.72,4.28,7.13
194208,1.72,1.79,3.85
194209,2.61,2.83,4
194210,5.35,7.88,12.46
194211,1.07,0.09,-4.34
194212,4.85,5.81,5.4
194301,5.43,8.36,12.06
194302,4.9,7.14,12.36
194303,4.23,7.41,11.83
194304,-0.12,1.34,3.64
194305,5.08,5.93,8.41
194306,2.13,1.89,0.09
194307,-4.77,-3.93,-5.98
194308,1.48,1.21,0.29
194309,2.22,2.75,3.03
194310,-1.43,-0.9,0.45
194311,-4.8,-6.7,-9.51
194312,5.7,7.22,8.02
194401,0.89,1.87,4.95
194402,0.08,0.8,2.13
194403,2.2,2.66,4.1
194404,-1.41,-1.96,-1.98
194405,4.63,5.21,5.72
194406,5.03,5.55,7.91
194407,-1.61,-1.44,-0.93
194408,1.45,1.51,1.25
194409,0.36,-0.24,-0.25
194410,-0.06,0.81,-0.14
194411,1.16,2.31,3.24
194412,2.58,4.72,9.83
194501,0.88,3.23,3.52
194502,5.19,6.4,10.07
194503,-3.23,-4.56,-4.96
194504,6.78,8.13,10.73
194505,2.03,1.15,1.8
194506,-1.1,0.89,3.99
194507,-1.5,-1.95,-4.62
194508,8.56,4.65,2.95
194509,4.64,4.58,5.82
194510,2.51,5.12,5.74
194511,3.15,6.13,9.65
194512,1.87,1.3,-0.18
194601,6.26,5.25,8.44
194602,-5.9,-5.11,-7.35
194603,5.23,6.93,5.24
194604,3.79,5.39,3.18
194605,3.35,3.73,6.26
194606,-4.42,-2.84,-4.43
194607,-2.85,-2.5,-2.72
194608,-6.44,-6.37,-6.37
194609,-10.03,-8.85,-12.3
194610,-2.52,-1.71,0.5
194611,-0.29,0.63,0.01
194612,5.32,5.15,4
194701,2.3,-0.28,2.12
194702,0,-1.28,-1.48
194703,-1.88,-1.2,-1.64
194704,-5.35,-4,-5.07
194705,-1.33,-0.12,-2.25
194706,6.35,4.62,4.58
194707,3.58,3.69,7.3
194708,-1.86,-1.46,-2.06
194709,-0.63,-0.58,0.21
194710,2.28,3.02,2.99
194711,-2.17,-1.62,-1.9
194712,1.95,3.31,6.04
194801,-4.43,-3.93,-2.9
194802,-4.7,-3.88,-4.85
194803,7.76,7.76,11.17
194804,2.24,4.26,6.75
194805,8.54,6.62,7.79
194806,-0.71,0.19,1.51
194807,-5.01,-5.3,-4.49
194808,0.8,-0.23,0.47
194809,-2.73,-2.58,-3.95
194810,6.34,5.75,6.16
194811,-8.39,-8.8,-13.33
194812,4.8,2.56,2.04
194901,0.59,-0.87,1.53
194902,-2.58,-2.82,-4.23
194903,4.3,3.56,5.42
194904,-2.06,-0.84,-2.71
194905,-1.93,-3.13,-5.29
194906,1.03,0.13,-2.29
194907,5.28,5.87,6.59
194908,2.73,2.85,2.69
194909,2.71,3.67,4.32
194910,3.3,3.09,3.43
194911,2.88,0.26,1.2
194912,5.37,4.02,7.33
195001,1,2.21,3.89
195002,1.58,1.51,0.97
195003,1.93,0.74,0.25
195004,4.38,3.23,5.73
195005,4.57,4.81,3.92
195006,-5.49,-6.49,-5.76
195007,-3.37,4.39,12.8
195008,6.06,4.22,3.05
195009,5.77,3.9,4.64
195010,-0.18,-0.48,1.66
195011,2.35,3.31,4.34
195012,3.39,6.69,10.94
195101,5.2,5.52,9.05
195102,2.23,1.83,-1.33
195103,-0.73,-2.73,-5.1
195104,4.37,5.54,6.71
195105,-2.33,-1.86,-3.5
195106,-2.23,-1.31,-6.87
195107,6.62,7.14,8.63
195108,4.18,4.46,5.09
