This file was created by CMPT_ME_RETS using the 201603 CRSP database.  It contains,,,
value- and equal-weighted returns for size portfolios.  Each record contains returns for:,,,
,,,
The portfolios are constructed at the end of June.,,,
,,,
,,,
,,,
  Value Weighted Returns -- Monthly,,,
,Small 30,Med 40,Big 30
194202,-2.08,-1.25,-2.58
194203,-5.12,-4.55,-6.8
194204,-4.33,-5.09,-4.26
194205,1.05,2.68,6.39
194206,1.4,1.97,2.81
194207,4.62,4.11,3.46
194208,3.21,2.12,1.78
194209,5.79,2.92,2.55
194210,11.77,9.85,6.47
194211,-2.29,-1.41,0.38
194212,2.04,4.09,5.3
194301,22.1,11.8,6.47
194302,17.49,9.44,5.64
194303,15.2,10.09,5.41
194304,6.74,3.99,0.36
194305,12.7,7.81,5.36
194306,0.08,0.9,2
194307,-7.75,-6.89,-4.43
194308,-0.7,0.97,1.41
194309,4.13,3.44,2.26
194310,-0.32,-0.3,-1.17
194311,-10.33,-8.42,-5.52
194312,11.14,9.9,5.95
194401,5.94,3.64,1.49
194402,2.22,0.79,0.34
194403,5.8,3.93,2.26
194404,-3.59,-2.84,-1.47
194405,7.04,6.89,4.74
194406,12.9,9.38,4.98
194407,-1.64,-1.18,-1.49
194408,3.14,3.16,1.36
194409,0.41,-0.07,0.04
194410,0.41,-0.56,0.28
194411,3.35,1.85,1.69
194412,7.98,7.12,3.55
194501,5.68,3.51,1.78
194502,9.26,8.64,5.84
194503,-7.08,-5.3,-3.58
194504,8.79,9.61,7.59
194505,3.98,2.72,1.55
194506,6.13,3.41,-0.18
194507,-3.81,-3.4,-1.9
194508,6.59,6.97,6.12
194509,6.6,6.77,4.46
194510,8,5.54,3.55
194511,11.46,9.09,4.63
194512,3.17,2.84,0.9
194601,12.57,8.63,5.67
194602,-7.03,-6.95,-5.46
194603,3.83,8,5.69
194604,7.08,5.68,3.97
194605,5.26,6.11,3.56
194606,-5.4,-5.65,-3.53
194607,-5.52,-4.07,-2.32
194608,-8.62,-7.84,-6.1
194609,-15.41,-13.19,-9.37
194610,-1.74,-1.47,-1.47
194611,-0.63,0.14,-0.01
194612,3.9,5.74,4.91
194701,4.3,1.86,1.11
194702,0.18,-0.82,-1.12
194703,-4.13,-2.55,-1.39
194704,-8.7,-7.94,-4.15
194705,-5.16,-3.27,-0.51
194706,5.36,5.5,5.28
194707,7.83,6.2,3.76
194708,-2.39,-0.72,-1.84
194709,1.4,0.49,-0.66
194710,4.03,3.32,2.36
194711,-3.56,-2.72,-1.7
194712,1.68,2.23,3.24
194801,-1.12,-2.16,-4.19
194802,-6.86,-6.08,-4
194803,9.73,9.44,7.94
194804,4.1,4.26,3.57
194805,9.21,8.51,7.27
194806,-0.59,-1.55,0.24
194807,-5.68,-5.19,-4.96
194808,-1.04,0.08,0.42
194809,-4.5,-4.27,-2.68
194810,5.33,5.15,6.15
194811,-11.65,-10.73,-8.99
194812,-0.22,1.75,3.62
194901,2.76,1.06,0.17
194902,-4.89,-3.75,-2.68
194903,6.66,6.02,3.81
194904,-2.71,-3.54,-1.5
194905,-5.81,-3.54,-2.68
194906,-1.3,-1.23,0.44
194907,5.93,6.69,5.48
194908,2.21,2.77,2.71
194909,4.36,4.43,2.98
194910,5.2,3.13,3.22
194911,-0.29,1.65,2.01
194912,8.12,6.98,4.89
195001,5.26,3.69,1.42
195002,2.61,1.24,1.55
195003,-0.87,-0.2,1.63
195004,5.92,5.09,3.97
195005,2.32,3.24,4.68
195006,-9.25,-7.25,-5.52
195007,7.83,4.03,0.96
195008,4.74,4.99,4.94
195009,4.56,6.01,4.77
195010,-0.54,-0.49,0.03
195011,3.5,3.42,2.77
195012,11.63,7.93,5.18
195101,8.74,7.45,5.53
195102,0.56,1,1.65
195103,-4.94,-3.63,-1.74
195104,4.1,4.47,5.11
195105,-3.48,-2.14,-2.23
195106,-6.6,-5.21,-2.04
195107,5.64,6.47,7.2
195108,5.48,4.45,4.37
195109,3.22,2.28,0.56
195110,-2.43,-2.64,-2.34
195111,0.07,1.45,0.58
195112,0.35,1.54,3.8
195201,1.66,1.55,1.63
195202,-2.53,-1.75,-2.62
195203,2.44,2.81,4.88
195204,-4.82,-4.24,-4.94
195205,1.76,2.72,3.44
195206,3.04,3.25,4.13
195207,1.11,0.9,1.08
195208,0.42,0.24,-0.76
195209,-1.37,-1.53,-1.93
195210,-1.19,-1.11,-0.43
195211,5.15,5.55,6.13
195212,2.18,2.64,3.17
195301,3.98,2.19,-0.59
195302,2.08,1.07,-0.35
195303,-1.7,-0.97,-1.3
195304,-2.07,-2.32,-2.74
195305,0.77,0.63,0.72
