This file was created by CMPT_ME_RETS using the 201603 CRSP database.  It contains,,,
value- and equal-weighted returns for size portfolios.  Each record contains returns for:,,,
,,,
The portfolios are constructed at the end of June.,,,
,,,
,,,
,,,
  Value Weighted Returns -- Monthly,,,
,Small 30,Med 40,Big 30
199504,2.58,1.94,2.71
199505,2.08,1.75,3.97
199506,6.48,4.87,2.45
199507,6.19,6.28,3.61
199508,3.26,1.53,0.75
199509,2.17,1.99,4.34
199510,-5.34,-2.64,-0.42
199511,2.72,4.77,4.43
199512,2.23,1.6,1.48
199601,0.57,0.01,3.39
199602,3.19,3.3,1.37
199603,2.44,2.62,0.79
199604,7.58,4.34,1.52
199605,6.47,2.39,2.48
199606,-4.1,-3.05,0.28
199607,-10.07,-7.76,-4.72
199608,4.82,6.15,2.48
199609,3.45,4.46,5.77
199610,-1.81,-1.25,2.1
199611,2.64,4.48,7.5
199612,1.83,0.87,-1.83
199701,4.31,2.5,6.11
199702,-2.81,-1.6,0.51
199703,-5.3,-4.88,-4.43
199704,-2.65,1.54,5.64
199705,10.97,10.18,6.35
199706,5.72,4.44,4.29
199707,4.66,6.23,8.22
199708,4.11,1.43,-5.09
199709,9.17,6.94,5.35
199710,-3.77,-4.34,-3.11
199711,-1.85,-0.19,4.43
199712,-0.92,2.12,2
199801,-0.62,-1.15,0.99
199802,6.68,8.27,7.32
199803,4.92,4.8,5.17
199804,1.89,0.95,1.26
199805,-4.84,-5.19,-1.85
199806,-0.57,1.06,4.32
199807,-6.72,-7.04,-1.14
199808,-21.52,-19.51,-14.69
199809,4.71,6.36,6.6
199810,2.65,5.5,7.98
199811,7.77,5.62,6.38
199812,3.75,6.42,6.63
199901,4.19,0.29,3.97
199902,-7.11,-6.81,-3.24
199903,-1.91,2.22,4.04
199904,9.67,8.67,3.86
199905,1.92,1.28,-2.2
199906,7.04,5.22,5.06
199907,0.46,-1.59,-3.35
199908,-3.54,-3.72,-0.5
199909,-0.81,-0.32,-2.8
199910,-0.75,3.04,6.79
199911,10.17,6.35,2.66
199912,12.56,10.68,6.58
200001,4.06,-3.74,-4.43
200002,24.23,13.55,-0.3
200003,-8.85,-1.23,9.37
200004,-14.09,-5.67,-3.84
200005,-8.6,-4.42,-2.71
200006,17.54,6.51,3.16
200007,-1.73,-3.56,-1.77
200008,5.94,7.37,7.68
200009,-3.54,-4.17,-4.84
200010,-6.36,-4.54,-1.75
200011,-9.66,-9.73,-9.7
200012,2.5,8.75,1.16
200101,13.74,4.28,3.19
200102,-4.83,-6.4,-9.65
200103,-3.06,-6.09,-6.99
200104,6.25,8.31,8.12
200105,8.36,2.81,0.72
200106,4.88,2.24,-2.19
200107,-4.44,-3.84,-1.49
200108,-3.68,-4.31,-6.41
200109,-13.98,-13.61,-8.21
200110,6.3,6.62,2.2
200111,7.65,8.14,7.89
200112,7.43,6.15,0.99
200201,0.31,-1.27,-1.62
200202,-4.02,-2.09,-2.14
200203,8.65,7.19,3.93
200204,1.65,-0.66,-6.14
200205,-3.25,-3.17,-0.86
200206,-2.59,-6.67,-7.48
200207,-14.9,-11.59,-7.24
200208,-0.99,1.04,0.75
200209,-7.75,-8.29,-10.52
200210,3.48,4.5,8.68
200211,11.21,8.51,5.54
200212,-5.78,-5.33,-5.74
200301,-1.37,-2.36,-2.75
200302,-2.86,-2.55,-1.78
200303,1.11,1.04,1.1
200304,10,9.41,8.13
200305,12.8,9.65,5.51
200306,4.09,2,1.24
200307,8.21,4.76,1.77
200308,4.97,5.24,1.94
200309,0.55,-1.87,-1.16
200310,9.08,8.24,5.66
200311,4.11,3.39,1.05
200312,2.43,2.19,4.87
200401,6.28,3.38,1.79
200402,0.12,1.95,1.48
200403,-0.21,0.63,-1.54
200404,-4.81,-3.53,-1.3
200405,0.33,2.01,1.21
200406,4.16,3.4,1.6
200407,-7.88,-5.63,-3.49
200408,-1.1,-0.96,0.37
200409,4.93,4.16,1.17
200410,2,2.18,1.4
200411,9.15,7.14,4.11
200412,4.5,4.01,3.49
200501,-4.13,-2.57,-2.42
200502,1.05,2.88,2.05
200503,-3.42,-1.63,-1.6
200504,-6.36,-4.7,-1.84
200505,6.11,6.23,3.31
200506,4.33,3.11,0.16
200507,7.26,5.7,3.73
200508,-1.44,-1.08,-0.86
200509,0.47,0.84,0.78
200510,-2.97,-3.13,-1.44
200511,4.69,4.77,3.78
200512,0.38,0.49,0
200601,9.35,6.59,2.43
200602,0.08,-0.53,0.11
200603,4.95,3.6,1.36
200604,0.56,0.92,1.17
200605,-5.48,-4.6,-2.56
200606,-0.53,-0.29,0.17
200607,-3.76,-3.96,0.36
200608,3.07,2.14,2.38
200609,0.88,1.32,2.49
200610,5.86,4.5,3.35
200611,2.48,3.71,1.92
200612,1.16,0.38,1.36
200701,1.46,2.88,1.7
200702,-0.54,0.27,-1.95
200703,0.85,1.55,1.14
200704,1.67,3.55,4.33
200705,3.08,4.79,3.5
200706,-0.58,-1.23,-1.65
200707,-6.71,-4.9,-2.86
200708,0.76,0.22,1.53
200709,1.24,2.49,3.85
200710,1.6,2.54,1.96
200711,-8.27,-5.95,-3.96
200712,-0.55,-0.9,-0.53
200801,-7.51,-5.8,-6.02
200802,-3.53,-2.3,-2.9
200803,-0.53,-1.23,-0.57
200804,2.08,6.2,4.61
200805,4.18,5.25,1.5
200806,-8.58,-7.12,-8.36
200807,4.4,0.15,-1.16
200808,3.82,3.29,1.19
200809,-8.01,-10.26,-9.04
200810,-20.92,-20.75,-16.39
200811,-12.98,-10.23,-7.17
200812,4.96,4.55,1.21
200901,-10.8,-8.26,-7.79
200902,-12.31,-10.18,-9.68
200903,9.57,10,8.57
200904,16.44,14.92,9.09
200905,4.15,2.83,5.54
200906,3.7,0.8,0.19
200907,10.46,9.41,7.41
200908,4.38,3.8,3.21
200909,7.17,6.25,3.71
200910,-8.22,-5.51,-1.65
200911,2.39,4.27,5.92
200912,8.85,6.85,1.99
201001,-3.11,-3.34,-3.41
201002,5.02,4.78,3.14
201003,8.27,7.87,5.86
201004,7.45,4.89,1.18
201005,-8.11,-7.49,-7.9
201006,-8.27,-7.23,-5.12
201007,6.37,7,6.97
201008,-8.48,-5.97,-4.37
201009,12.19,12.05,9.07
201010,4.79,3.27,3.89
201011,3.72,3.4,0.12
201012,9.04,7.51,6.49
201101,-0.61,1.76,2.3
201102,5.21,4.97,3.3
201103,2.93,2.65,0.04
201104,1.42,3.15,3
201105,-2.95,-1.22,-1.19
201106,-2.4,-1.61,-1.69
201107,-3.26,-4.08,-2.04
201108,-10.35,-8.23,-5.45
201109,-11.19,-11.01,-6.9
201110,14.27,15.08,10.73
201111,-1.02,-0.03,-0.24
201112,0.47,-0.03,0.83
201201,8.12,6.3,4.75
201202,2.42,4.18,4.53
201203,2.99,1.87,3.24
201204,-1.93,-0.88,-0.71
201205,-6.94,-7.04,-5.99
201206,5.99,2.98,3.91
201207,-2.01,-0.86,1.17
201208,2.97,3.82,2.37
201209,4.81,2.53,2.66
201210,-3.09,-1.26,-1.73
201211,0.63,1.93,0.6
201212,3.59,2.6,0.88
201301,6.13,7.23,5.33
201302,1.1,1.46,1.29
201303,5.02,4.76,3.88
201304,-0.34,-0.15,1.86
201305,5.9,4.77,2.45
201306,0.83,-1.04,-1.37
201307,7.95,7.03,5.34
201308,-2.98,-2.59,-2.72
201309,6.84,5.83,3.35
201310,2.18,3.14,4.43
201311,5.01,3.02,3.07
201312,2.23,2.92,2.65
201401,-1.7,-2.52,-3.55
201402,4.79,5.22,4.61
201403,-0.27,-0.78,0.73
201404,-5.01,-2.37,0.55
201405,-0.63,1.3,2.28
201406,5.76,5.13,2.01
201407,-6.82,-4.96,-1.4
201408,4.4,5.21,4.08
201409,-5.75,-4.97,-1.4
201410,5.67,3.55,2.23
201411,-0.26,1.05,2.89
201412,4.54,0.53,-0.39
201501,-4.33,-2.6,-3.08
201502,6.55,6.89,6.03
201503,1.66,1.14,-1.61
201504,-2.3,-1.14,1.02
201505,2.48,2,1.21
201506,2.29,-0.76,-1.83
201507,-3.9,-0.61,2.06
201508,-5.26,-6.04,-6.06
201509,-6.28,-5.14,-2.78
201510,5.66,5.59,8.2
201511,3.81,1.87,0.33
201512,-5.1,-4.57,-1.76
201601,-10.46,-8.1,-5.41
201602,-0.04,1.26,-0.16
201603,7.19,8.24,6.62
,,,
,,,
  Equal Weighted Returns -- Monthly,,,
,Small 30,Med 40,Big 30
192607,-0.43,1.52,2.68
192608,3.9,3.04,2.09
192609,-1.08,-0.54,0.16
192610,-3.32,-3.52,-3.06
192611,-0.46,3.82,3.09
192612,2.54,1.69,3.25
192701,1.86,1.32,0.23
192702,6.45,6.62,4.17
192703,-3.06,-1.93,-0.61
192704,3.48,-0.15,0.05
192705,6.75,6.81,5.67
192706,-2.45,-1.18,-2.9
192707,5.95,5.03,6.8
192708,-0.61,0.2,1.67
192709,0.59,3.57,4.89
192710,-5.25,-2.45,-3.86
192711,16.07,7.52,7.18
192712,3.1,2.77,3.52
192801,8.39,2.08,-0.21
192802,-1.8,-2.93,-2.13
192803,6.24,6.79,8.2
192804,15.23,6.64,4.27
192805,9.67,1.59,1.1
192806,-9.26,-6.53,-4.61
192807,-0.87,0.52,1.14
192808,3.22,6.61,7.51
192809,5.82,5.38,4.07
192810,1.85,1.84,0.95
192811,12.55,11.13,11.46
192812,-2.62,0.5,0.93
192901,3.08,2.36,5.16
192902,0.25,1.24,-0.17
192903,-3.6,-4.49,-0.57
192904,0.71,2.32,0.92
192905,-13.78,-8.72,-4.33
192906,5.81,8.12,9.35
192907,-0.55,2.19,3.95
192908,-0.79,1.91,7.17
192909,-5.99,-3.72,-3.67
192910,-20.67,-20.71,-19.14
192911,-12.91,-12.98,-11.5
192912,-8.64,-1.12,1.39
193001,16.54,10.09,5.71
193002,4.29,2.64,3.13
193003,14.91,9.38,7.26
193004,-5.74,-5.09,-3.5
193005,-7.33,-3.04,-1.53
193006,-19.69,-18.48,-16.74
193007,2.17,4.62,4.19
193008,-4.07,-1.55,-0.11
193009,-17.92,-15,-12.57
193010,-9.48,-10.16,-9.95
193011,-2.64,-1.96,-2.39
193012,-19.58,-12.95,-9.55
193101,22.31,12.44,8.68
193102,22.43,13.93,11.58
193103,-4.49,-6.58,-7.61
193104,-18.33,-15.67,-11.97
193105,-13.37,-13.82,-15.73
193106,19.95,16.66,18.97
193107,-5.87,-7.48,-7.05
193108,-4.89,-1.38,0.58
193109,-29.88,-30.99,-30.51
193110,8.85,11.32,8.93
193111,-8.21,-9.01,-9.94
193112,-22.35,-16.94,-16.06
193201,15.12,6.53,3.36
193202,1.91,0.91,4.11
193203,-11.39,-12.45,-12.26
193204,-18.82,-16.3,-18.24
193205,-11.52,-23.36,-25.03
193206,1.56,6.21,3.54
193207,50.07,40.88,39.94
193208,100.37,58.4,42.83
193209,-9.71,-4.75,-2.6
193210,-18.32,-17.58,-13.35
193211,-6.6,-7.62,-5.87
193212,-9.44,-4.72,3.4
193301,2.78,4.63,2.46
193302,-15.09,-16.24,-15.23
193303,15.74,9.95,6.17
193304,55.17,52.53,44.24
193305,99.5,57.61,26.27
193306,37.42,17.99,13.99
193307,-3.3,-12.41,-11.33
193308,4.65,13.26,14.86
193309,-18.49,-15.26,-11.44
193310,-11.73,-11.05,-9.11
193311,3.14,7.23,9.21
193312,0.54,2.47,2.03
193401,48.55,31.54,16.6
193402,6.48,0.32,-2.66
193403,1.25,0.34,0.36
193404,2.48,-1.25,-1.24
193405,-13.72,-10.89,-8.11
193406,-3.32,0.18,3.47
193407,-23.1,-19.27,-13.2
193408,12.81,9.83,6.22
193409,-2.2,-0.77,-0.49
193410,-2.55,-2.29,-1.1
193411,16,13.64,9.57
193412,1.95,1.72,0.56
193501,-1.44,-3.55,-4.48
193502,-9.09,-5.25,-2.56
193503,-10.71,-7.63,-3.35
193504,10.19,9.45,8.98
193505,1.53,2.05,3.89
193506,0.55,4.61,6.54
193507,14.19,11.69,7.1
193508,17.84,6.37,1.89
193509,1.26,3.46,1.97
193510,9.05,8.66,7.63
193511,32.25,9.28,4.89
193512,4.55,7.48,4.99
193601,29.75,10.84,6.23
193602,5.59,4.43,2.93
193603,0.53,1.94,-0.14
193604,-17.78,-11.52,-8.14
193605,5.5,5.49,4.72
193606,-1.88,0.15,1.54
193607,7.29,9.43,6.74
193608,1.96,2.95,1.28
193609,5.15,3.36,1.66
193610,7.63,5.64,6.95
193611,16.24,8.35,3.85
193612,3.93,3.24,0.69
193701,14.02,6.51,3.22
193702,3.95,2.68,1.5
193703,0.59,-0.29,0.01
193704,-14.01,-9.25,-7.47
193705,-3.53,-1.99,-1.62
193706,-11.34,-7.41,-4.45
193707,11.44,9.34,9.25
193708,-6.92,-4.85,-4.62
193709,-22.56,-20.15,-15.3
193710,-9.6,-10.96,-9.52
193711,-13.7,-10.84,-8.48
193712,-14.35,-11.32,-4.7
193801,7.49,4.41,0.75
193802,3.09,7.18,7.63
193803,-30.99,-28.88,-25.4
193804,22.92,20.52,17.01
193805,-8.3,-7.5,-5.1
193806,31.11,33.3,28.26
193807,15.51,12.69,8.32
193808,-10.71,-5.19,-3.49
193809,-2.89,-1.72,0.06
193810,18.4,14.35,10.31
193811,-6.89,-3.31,-1.45
193812,-0.27,4.77,4.6
193901,-7.62,-8.12,-6.84
193902,3.54,4.79,3.85
193903,-19.34,-18.55,-13.71
193904,0.49,0.04,-0.51
193905,7.33,9.98,7.68
193906,-10.17,-8.6,-6.48
193907,13.37,15.58,11.25
193908,-11.99,-11.29,-8.29
193909,71.37,33.18,17.58
193910,-3.81,0.48,0.63
193911,-13.2,-7.33,-4.29
193912,-2.14,3.6,2.84
194001,-1.17,-2.17,-2.19
194002,4.62,3.1,1.25
194003,3.2,2.83,2.2
194004,2.72,1.71,-0.77
194005,-29.48,-27.45,-23.57
194006,5.33,7.04,7.6
194007,3.08,4.66,3.22
194008,1.97,2.5,2.05
194009,4.09,4.56,2.64
194010,4.11,5.53,4.81
194011,0.05,0.44,-1.56
194012,-5.09,-0.79,0.14
194101,5.71,-3.01,-3.38
194102,-2.04,-2.29,-1.55
194103,2.7,0.88,0.62
194104,-5.79,-6.14,-5.29
194105,0.63,1.15,1.25
194106,8.5,6.25,5.55
194107,20.61,11.41,7.44
194108,-0.75,-1.05,-0.11
194109,-3.71,-1.6,-1.03
194110,-6.97,-6.22,-5.5
194111,-6.48,-2.25,-2.01
194112,-13.31,-7.28,-4.61
194201,30.53,8.75,2.97
194202,-0.79,-1.09,-2.53
194203,-5.09,-4.33,-6.34
194204,-3.81,-5.1,-4.7
194205,0.64,2.65,5.4
194206,2.49,1.99,3.08
194207,5.33,4.17,4.37
194208,4.29,2.27,2.24
194209,9.31,2.96,2.75
194210,13.04,9.98,7.06
194211,-2.83,-1.62,-0.47
194212,0.33,4.02,5.94
194301,31.24,13.06,7.8
194302,25.13,9.6,6.36
194303,15.06,10.4,8.21
194304,7.72,2.83,0.31
194305,12.78,7.51,5.15
194306,0.3,1.43,1.74
194307,-7.51,-6.78,-5.08
194308,-1.63,0.96,1.45
194309,4.54,3.53,2.5
194310,-0.33,0.08,-0.9
194311,-11.52,-8.63,-6.82
194312,11.85,10.09,7.4
194401,7.46,4.12,2.3
194402,2.7,1.15,0.67
194403,5.89,4.04,2.55
194404,-3.75,-2.85,-2.35
194405,7.57,6.91,5.27
194406,15.8,9.64,6.39
194407,-1.6,-1.01,-1.26
194408,3.81,3.37,1.93
194409,-0.1,0.04,0.09
194410,0.67,-0.47,0.18
194411,3.27,1.88,1.99
194412,8.89,7.27,4.63
194501,6.7,3.99,2.8
194502,9.74,8.8,6.92
194503,-8.21,-5.07,-3.86
194504,8.83,9.47,8.27
194505,4.7,2.67,1.55
194506,7.32,2.97,0.81
194507,-3.62,-3.66,-2.98
194508,6.16,6.94,6.76
194509,6.5,6.68,5.6
194510,9.38,5.77,4.84
194511,12.47,9.34,7.11
194512,3.32,2.82,1.05
194601,13.68,8.55,6.35
194602,-6.65,-6.9,-5.92
194603,3.39,7.44,6.43
194604,7.42,5.2,3.62
194605,5.22,6.39,4.66
194606,-5.23,-5.24,-4.26
194607,-5.37,-3.99,-3.16
194608,-8.54,-7.87,-5.94
194609,-16.03,-13.45,-10.88
194610,-1.63,-1.3,-0.91
194611,-0.74,-0.06,-0.29
194612,3.28,5.62,5.27
194701,5.38,2.61,1.08
194702,0.18,-0.7,-1.25
194703,-4.29,-2.83,-1.95
194704,-9.94,-8.38,-6.26
194705,-5.58,-3.8,-2.19
194706,6.33,5.34,5.78
194707,7.84,6.15,4.79
194708,-2.59,-0.81,-2.12
194709,1.11,0.53,0.07
194710,4.4,3.33,2.4
194711,-3.58,-3,-2.4
194712,1.71,2,3.27
194801,0.21,-1.82,-3.33
194802,-7.09,-6.15,-4.61
194803,9.98,9.23,9.79
194804,4.45,3.5,3.59
194805,10.11,8.71,7.71
194806,-1.62,-1.75,-0.89
194807,-5.74,-5.08,-5.12
194808,-1.21,-0.03,0.55
194809,-5.02,-4.23,-3.55
194810,5.38,4.97,5.73
194811,-11.69,-10.68,-9.68
194812,-1.05,1.47,3.38
194901,3.46,1.28,1.02
194902,-5.34,-4.32,-2.49
194903,7.05,6.34,4.31
194904,-3.05,-3.85,-2.31
194905,-6.51,-4.07,-2.33
194906,-1.39,-1.26,0.53
194907,6.34,6.69,5.53
194908,2.22,2.93,2.3
194909,4.73,4.53,3.65
194910,6.15,3.24,2.72
194911,-0.74,1.35,2.09
194912,8.35,7.1,5.77
195001,5.88,4.07,2.03
195002,2.57,1.1,1.51
195003,-0.76,-0.49,0.79
195004,6.15,4.96,3.35
195005,2.87,3.38,3.7
195006,-9,-7.08,-6.65
195007,8.61,4.56,2.1
195008,5.2,5.25,4.5
195009,4.5,6.08,5.62
195010,-0.33,-0.28,-0.82
195011,3.14,3.12,3.47
195012,12.49,7.58,5.73
195101,8.7,7.9,6.04
195102,0.52,1.31,1.8
195103,-4.89,-3.14,-2.22
195104,3.74,4.12,4.27
195105,-3.48,-2.18,-1.9
195106,-5.97,-4.93,-2.63
195107,5.03,6.18,7.63
195108,5.62,4.72,3.82
195109,2.73,2.38,1.75
195110,-2.32,-2.53,-2.33
195111,-0.16,1.16,1.06
195112,0.15,1.43,3
195201,1.67,1.61,1.96
195202,-2.35,-1.72,-2.26
195203,1.9,2.71,4.05
195204,-4.56,-4.11,-4.8
195205,1.43,2.56,3.08
195206,2.95,2.93,3.41
195207,0.97,0.97,1.23
195208,0.23,0.29,-0.48
195209,-1.26,-1.5,-1.77
195210,-1.13,-1.31,-0.93
195211,4.72,5.67,6.31
195212,1.56,2.45,2.77
195301,4.54,2.64,0.08
195302,2.4,1.2,0.08
195303,-1.25,-1.1,-0.92
195304,-2.12,-2.28,-2.65
195305,0.8,0.52,0.56
195306,-4.1,-3.15,-2.39
195307,1.24,1.66,2.37
195308,-5.95,-5.02,-4.44
195309,-2.87,-0.84,0.34
195310,2.46,4.1,4.53
195311,1.7,1.96,2.86
195312,-3.25,-1.4,0.1
195401,8.85,6.88,5.77
195402,0.57,1.69,1.68
195403,2.47,2.65,3.5
195404,0.79,1.28,2.94
195405,4.04,4.65,3.94
195406,1.29,1.33,1.14
195407,9.26,6.74,5.8
195408,0.55,-0.99,-2.34
195409,3.65,4.36,5.14
195410,-0.47,-0.55,-1.08
195411,7.83,9.43,9.81
195412,12.17,8.4,6.09
195501,2.44,1.53,0.23
195502,5.21,4.4,3.21
195503,0.01,0.04,0.23
195504,2.53,1.98,2.7
195505,0.43,0.51,1.24
195506,3.34,2.85,4.62
195507,1.71,0.4,0.22
195508,0.04,0.68,0.88
195509,0.14,-0.86,-1.66
195510,-1.66,-1.34,-2.21
195511,3.56,6,6.78
195512,2.49,2.29,1.94
195601,-0.67,-2.59,-2.69
195602,2.87,3.29,3.9
195603,4.23,4.76,6.46
195604,0.78,0.37,0.13
195605,-4.21,-3.84,-3.97
195606,0.88,2.22,3.22
195607,3.04,3.92,4.93
195608,-1.25,-1.59,-2.6
195609,-2.71,-3.26,-4.88
195610,0.59,0.8,0.8
195611,-0.11,0.86,0.85
195612,1.27,2.69,2.82
195701,2.84,0.08,-1.91
195702,-2.5,-2.45,-1.82
195703,1.84,2.5,2.25
195704,2.45,1.97,3.49
195705,1.05,2.24,3.09
195706,0.65,-1.1,-1.63
195707,0.8,0.53,0.34
195708,-4.26,-5.22,-5.13
195709,-5.11,-5.56,-5.2
195710,-8.34,-6.55,-4.54
195711,0.16,2.36,3.61
195712,-5.48,-5.2,-3.75
195801,14.27,10.85,6.9
195802,-1.46,-0.81,-1.24
195803,3.58,3.69,3.44
195804,4.06,2.37,3.12
195805,4.21,4.38,3.03
195806,3.9,2.87,3.05
195807,5.66,5.71,4.81
195808,3.62,3.33,2.05
195809,5.99,5.46,4.21
195810,3.11,3.45,3.15
195811,4.95,4.03,3.99
195812,3.37,3.83,4.46
195901,7.26,4.08,1.44
195902,3.19,3.16,2.04
195903,1.86,1.22,0.41
195904,1.9,3.23,2.62
195905,0.48,0.92,0.87
195906,-0.09,1.1,0.31
195907,3.11,3.1,2.92
195908,-1.1,-1.42,-1.79
195909,-4.13,-4.54,-4.84
195910,1.28,2.36,2.65
195911,0.39,2.02,2.06
195912,2.76,2.2,1.72
196001,-1.32,-4.51,-5.62
196002,0.37,0.9,1.24
196003,-2.88,-2.72,-1.56
196004,-2.68,-2.21,-0.96
196005,0.82,2.6,3.11
196006,1.87,2.29,2.44
196007,-1.65,-1.98,-2.07
196008,4.66,3.76,3.04
196009,-6.1,-6.3,-5.65
196010,-3.33,-2.65,-0.86
196011,2.61,5.26,6.04
196012,3.07,3.53,4.9
196101,9.25,8.76,6.36
196102,6.72,6.76,4.75
196103,7.18,4.89,2.88
196104,1.94,0.77,-0.2
196105,4.68,4.41,3.78
196106,-4.8,-4.44,-3.06
196107,0.06,1.01,2.45
196108,1,1.57,3.87
196109,-3.48,-2.95,-2.39
196110,1.84,1.86,2.74
196111,5.19,4.98,3.94
196112,-0.05,-0.29,-0.91
196201,2.39,-1.38,-2.99
196202,1.69,1.46,1.46
196203,-0.34,-0.88,-0.64
196204,-7.01,-6.78,-6.65
196205,-10.31,-10.06,-8.86
196206,-8.38,-8.32,-8.78
196207,7.61,6.15,5.67
196208,3.17,3.05,2.22
196209,-6.78,-6.27,-5.12
196210,-3.91,-2.45,-0.23
196211,14.89,13.96,12.62
196212,-2.23,-1.42,1.07
196301,10.97,7.47,5.5
196302,-0.65,-1.73,-1.78
196303,1.79,1.59,3.02
196304,3.54,3.46,4.61
196305,4.55,3.25,2.07
196306,-1.72,-1.73,-1.33
196307,-0.39,-1.31,-0.49
196308,3.13,5.35,5.95
196309,-0.44,-1.96,-1.9
196310,0.97,1.81,1.57
196311,-2.15,-1.3,-0.36
196312,-2.02,1.15,1.8
196401,4.96,1.33,1.48
196402,2.75,2.65,2.26
196403,2.79,3.31,2.11
196404,0.55,-0.5,-0.12
196405,0.06,1.53,1.51
196406,0.59,1.4,1.67
196407,3.56,2.16,2.42
196408,-0.3,-1.01,-0.91
196409,4.24,3.22,3.49
196410,2.4,1.65,1.08
196411,-0.09,-0.22,0.23
196412,-2.24,-0.24,-0.24
196501,8.89,5.79,4.91
196502,3.69,3.6,2.03
196503,2.67,0.31,-0.68
196504,4.64,4.02,2.67
196505,-0.49,-0.7,-0.72
196506,-9.19,-8.15,-5.69
196507,2.92,3.25,2.37
196508,3.78,5.45,3.59
196509,2.34,3.48,2.78
196510,7.34,4.88,3.04
196511,6.25,4.15,1.43
196512,5.59,3.54,1.55
196601,9.17,3.69,1.89
196602,5.24,1.41,-1.38
196603,0.13,-2.52,-1.43
196604,6.18,3.38,2.09
196605,-10.69,-7.55,-4.78
196606,-0.5,-0.53,-0.72
196607,-1.84,-1.36,-1.34
196608,-11.19,-9.34,-7.78
196609,-2.3,-1.43,-1.15
196610,-4.22,0.47,4.4
196611,3.99,5.33,2.75
196612,1.35,2.07,1.7
196701,21.62,14.81,8.79
196702,6.83,1.93,0.5
196703,6.53,5.75,4.44
196704,4.49,3.83,3.71
196705,0.42,-1.24,-3.43
196706,11.78,5.59,2.29
196707,10.36,6.4,5.43
196708,1.51,-0.1,-0.52
196709,8.77,4.21,1.95
196710,-0.82,-3.05,-4.6
196711,-0.67,1.2,0.78
196712,10.78,6.54,2.99
196801,6.24,-1.53,-3.73
196802,-6.56,-4.8,-3.34
196803,-1.7,-0.37,0.12
196804,16.63,12.63,9.42
196805,13.3,6.09,2.51
196806,1.55,1.44,2.09
196807,-2.04,-4.46,-2.56
196808,4.62,2.73,1.89
196809,7.58,6.62,5.36
196810,0.47,1.07,1.05
196811,6.94,8.31,6.59
196812,2.86,-1.94,-3.06
196901,-0.01,-1.3,-0.1
196902,-9.93,-7.87,-5.83
196903,2.11,1.59,2.1
196904,-0.21,0.93,1.5
196905,1.11,-0.54,-0.23
196906,-13.17,-10.62,-6.96
196907,-11.28,-8.25,-6.33
196908,4.71,6.32,5.36
196909,-3.3,-0.95,-2.07
196910,11.01,8.03,6.44
196911,-6.83,-4.58,-3.53
196912,-9.66,-3.9,-2.13
197001,-1.62,-6.24,-7.7
197002,3.17,4.18,7.23
197003,-3.34,-1.43,-0.64
197004,-18.44,-15.14,-10.65
197005,-9,-10.38,-7.3
197006,-8.62,-7.41,-4.98
197007,4.42,7.73,7.77
197008,6.48,6.45,5.23
197009,16.73,9.89,4.73
197010,-7.96,-4.24,-2.33
197011,-2.93,3.69,5.45
197012,8.49,8.86,7.12
197101,18.56,8.95,5.65
197102,6.74,2.84,1.64
197103,5.91,5.7,4.16
197104,1.97,3.86,3.17
197105,-6.16,-3.84,-3.43
197106,-3.11,-0.67,0.64
197107,-6.52,-4.75,-4.12
197108,3.7,5.39,4.39
197109,-0.53,-0.58,-0.8
197110,-6.51,-5.35,-4.45
197111,-4.97,-1.67,-0.68
197112,12.79,11.8,9.55
197201,15.45,5.63,2.04
197202,4.91,3.46,2.86
197203,-0.64,0.77,0.38
197204,-0.01,0.22,0.39
197205,-3.23,-0.8,0.47
197206,-3.68,-2.95,-3.13
197207,-3.72,-2.92,-1.64
197208,-0.28,2.22,4.41
197209,-4.04,-2.53,-1.48
197210,-2.72,-0.64,1.17
197211,4.17,6.34,6.6
197212,-3.33,-0.87,-0.31
197301,-2.57,-6.58,-5.24
197302,-8.12,-7.69,-4.82
197303,-2.96,-3.17,-1.52
197304,-7.55,-7.86,-5.63
197305,-10.2,-7.54,-3.56
197306,-3.47,-3.7,-2.55
197307,11.66,10.2,7.75
197308,-5.22,-3.2,-2.19
197309,6.51,9.98,8.49
197310,-0.29,-0.26,-0.96
197311,-18.41,-16.89,-13.21
197312,-5.86,-0.74,1.9
197401,16.28,7.7,2.17
197402,0.88,0.12,0.77
197403,2.02,-1.07,-2.7
197404,-5.04,-6.14,-5.91
197405,-6.94,-8.04,-5.09
197406,-2.81,-3.65,-3.46
197407,-5.46,-4.33,-6.09
197408,-7.75,-8.57,-9.96
197409,-7.61,-8.28,-9.16
197410,6.91,11.85,18.14
197411,-5.49,-4.11,-2.59
197412,-9.18,-5.26,-2.87
197501,31.85,25.62,17.45
197502,6.21,4.19,5.41
197503,9.43,6.27,4.29
197504,2.94,4.22,4.87
197505,8,6.6,5.75
197506,7.69,6.37,6.77
197507,0.95,-3.79,-6.57
197508,-5.37,-3.97,-2.47
197509,-3.51,-3.99,-4.03
197510,0.51,3.22,5.99
197511,1.52,2.59,3.44
197512,-0.44,-0.14,-0.91
197601,20.15,17.06,13.11
197602,14.39,6.38,0.82
197603,2.45,1.57,1.72
197604,-0.36,-0.9,-1.12
197605,-2.26,-1.28,-1.05
197606,2,4.67,5.46
197607,0.42,0.1,-0.51
197608,-1.76,-1.5,-0.43
197609,1.12,2.7,2.28
