,Mkt-RF,SMB,HML,RF
192610,2.16,2.04,-0.64,0.7
192610,-1.78,-0.28,1.7,0.73
192610,-1.92,-0.42,7.61,0.76
192610,-4.82,-1.69,3.31,0.71
192610,0.63,0.07,0.49,0.73
192610,-0.52,-1.2,1.24,0.81
192610,-5.97,0.04,0.23,0.78
192610,1.82,-0.31,-2.59,0.75
192610,-2.74,-2.22,0.4,0.82
192610,10.28,-0.24,-1.79,0.83
192610,-0.8,0.22,5.29,0.86
192610,-0.84,-1.21,0.48,1
192610,-1.76,-0.62,4.04,0.73
192610,1.84,-0.58,-0.14,0.64
192610,7.99,3.27,-5.38,0.65
192610,1.22,0.76,-0.15,0.58
192610,-0.84,-1.14,4.07,0.62
192610,-0.96,0.16,3.72,0.72
192610,5.09,-2.27,-0.87,0.66
192610,1.27,0.53,0.5,0.55
192610,-0.74,2.85,-1.65,0.62
192610,-1.02,-0.32,2.32,0.55
192610,-4.54,-1.6,1.28,0.6
192610,4.02,-1.57,0.79,0.65
192610,6.48,0.23,-2.88,0.61
192610,3.88,-0.49,-1.51,0.65
192610,0.65,1.2,0.51,0.56
192610,7.13,-0.63,-0.89,0.53
192610,4.88,-0.52,-0.47,0.6
192610,-1.31,2.85,-2.84,0.52
192610,4.62,-1.32,-0.12,0.49
192610,1.03,-0.92,1.37,0.52
192610,-6.45,-3.37,4.78,0.52
192610,6.07,-4.17,3.51,0.46
192610,-8.6,2.28,3.18,0.45
192610,4.66,-2.56,-1.44,0.46
192610,1.17,-1.97,-0.13,0.39
192610,-3.27,0.06,0.3,0.49
192610,12.47,-1.8,-3.17,0.42
192610,4.39,3.49,-5.98,0.43
192610,1.64,0.37,1.64,0.47
192610,-2.11,-1.69,-0.32,0.44
192610,0.11,-0.52,0.12,0.38
192610,3.94,-2.19,1.06,0.48
192610,3.85,-0.63,0.71,0.46
192610,3.52,-0.74,-0.93,0.47
192610,-2.59,0.54,0.28,0.45
192610,-23.24,-8.42,4.23,0.6
192610,-7.77,2.76,3.08,0.35
192610,6.81,0.14,-4.45,0.39
192610,4.21,-0.71,5.17,0.29
192610,4.75,3.35,-1.65,0.46
192610,-2.27,6.14,0.75,0.44
192610,0.56,0.96,1.68,0.46
192610,-0.29,-2.65,2.28,0.51
192610,4.79,2.1,-1.11,0.49
192610,-1.25,-0.2,2.27,0.51
192610,-3.31,0.08,2.08,0.59
192610,3.3,-1.27,-0.69,0.62
192610,1.15,-2.9,1.68,0.61
192610,-2.29,-1.73,1.27,0.57
192610,1.49,1.94,-1.55,0.63
192610,6.1,-2.13,0.53,0.55
192610,-2.25,2.76,0.88,0.61
192610,1.57,0.73,0.48,0.67
192610,4.33,-0.59,-1.47,0.67
192610,3.35,-0.04,-0.83,0.79
192610,-1.35,-1,2.16,0.71
192610,7.2,-4,-2.85,0.7
192610,1.44,0.5,0.75,0.74
192610,-0.76,0.27,-1.31,0.65
192610,-3.67,-3.28,-1.07,0.68
192610,1.03,-1.25,-1.06,0.69
192610,1.16,-2.4,0.24,0.61
192610,-7.85,-1.28,0.83,0.57
192610,1.11,1.02,0.65,0.57
192610,1.83,1.52,-2.9,0.64
192610,-3.36,-0.51,-2.53,0.69
192610,8.42,-2.55,-3.77,0.68
192610,-1.09,1.45,-1.98,0.63
192610,-1.9,-3.2,-0.01,0.68
192610,-10.14,-3.58,1.63,0.66
192610,-6.12,-3.67,0.74,0.6
192610,-1.92,-5.53,0.29,0.68
192610,6.35,0.32,-3.11,0.57
192610,2.46,0.81,-1.56,0.6
192610,4.69,3.8,-1.84,0.52
192610,7.19,3.94,-0.54,0.48
192610,2.65,3.89,-1.24,0.44
192610,-0.28,0.51,1.4,0.53
192610,3.64,-0.34,-0.56,0.47
192610,-4.94,0.07,1.21,0.42
192610,4.24,-0.93,-1.27,0.49
192610,2.32,1.6,-0.8,0.46
192610,-1.59,1.64,-0.98,0.46
192610,1.28,0.9,-0.44,0.42
192610,-4.19,-0.48,-1.91,0.39
192610,10.83,-2.24,-4.04,0.38
192610,-0.59,8.45,4.5,0.34
192610,1.09,0.88,6.36,0.28
192610,-2.65,-1.03,3.66,0.34
192610,1.08,-6.12,4.28,0.32
192610,0.3,0.4,1.27,0.28
192610,-2.34,-3.09,3.41,0.32
192610,3.77,-0.44,-0.53,0.31
192610,-2.38,-0.11,-1.04,0.26
192610,1.19,0.56,-0.21,0.26
192610,1.02,2.04,-2.1,0.23
192610,4.13,3.69,-1.48,0.23
192610,1.53,1.65,2.51,0.28
192610,0.93,2.05,5.89,0.23
192610,0.13,-3.44,6.42,0.22
192610,2.3,0.24,1.24,0.25
192610,-3.05,-0.69,2.61,0.24
192610,2.88,1.96,-3.42,0.22
192610,0.31,-0.3,2.61,0.25
192610,-0.34,0.94,3.24,0.24
192610,3.72,0.31,-0.44,0.25
192610,-0.12,3.13,-0.45,0.26
192610,1.41,1.45,-1.55,0.22
192610,-1.89,-1.43,-0.26,0.25
192610,1.65,1.22,0.57,0.23
192610,2.87,0.13,2.09,0.25
192610,-2.56,2.72,-1.43,0.21
192610,-4.78,-0.97,1.31,0.27
192610,0.68,-0.92,1.66,0.27
192610,0.58,-2.01,0.18,0.31
192610,-3.03,-0.47,1.68,0.31
192610,2.82,-1.77,0.99,0.28
192610,4.01,1.44,-3.45,0.37
192610,-2.31,2.68,-1.78,0.37
192610,1.34,-2.2,-2.36,0.38
192610,-4.04,-0.16,-0.04,0.37
192610,0.86,0.05,0.28,0.44
192610,1.8,-2.95,1.66,0.42
192610,3.63,-0.33,0.39,0.4
192610,2.18,-0.37,-2.04,0.46
192610,2.11,-0.41,1.73,0.44
192610,2.9,-2.25,1.91,0.54
192610,2.72,3.06,-2.97,0.47
192610,3.72,2.23,-2.24,0.45
192610,0.55,1.86,1.96,0.47
192610,3.35,-2.06,-0.93,0.43
192610,-1.52,-3.94,-0.06,0.47
192610,3.95,-0.84,0.32,0.42
192610,1.03,0.37,1.4,0.49
192610,2.26,-2.49,0.39,0.43
192610,1.33,2.05,-2.32,0.39
192610,0.73,1.31,1.27,0.39
192610,2.06,4.84,-4.06,0.46
192610,2.36,3.16,-1.39,0.42
192610,-1.14,-3.64,1.92,0.4
192610,-5.97,-3.59,4.36,0.45
192610,2.76,2.31,-0.58,0.41
192610,5.02,-0.79,-3.75,0.44
192610,0.86,-4.11,4.79,0.42
192610,6.25,-3.6,0.15,0.41
192610,-1.7,3.08,1.01,0.46
192610,4.99,-1.53,-2.36,0.45
192610,-0.49,-2.61,4.67,0.39
192610,-5.03,-0.33,3.85,0.43
192610,4.04,-5.2,-1.03,0.43
192610,6.74,4.83,-4.37,0.49
192610,4.1,1.5,0.76,0.37
192610,7.33,-2.52,-0.13,0.43
192610,-4.15,7.35,1.36,0.41
192610,5.35,2.68,-0.22,0.44
192610,-3.8,-0.79,2.2,0.42
192610,2.98,-5.06,0.98,0.39
192610,1.32,-2.39,3.82,0.48
192610,0.15,-0.93,-2.05,0.43
192610,7.03,0.32,-0.91,0.39
192610,4.76,-1.01,1.25,0.39
192610,0.73,0.48,0.34,0.43
192610,-3.07,-3.54,4.13,0.4
192610,3.18,-3.13,-2.17,0.41
192610,-2.46,-4.92,-1.17,0.4
192610,-16.08,-5.74,5.17,0.43
192610,6.15,-0.2,-3.8,0.46
192610,7.13,-3.2,-2.67,0.32
192610,6.1,1.16,-3.52,0.31
192610,6.16,-0.31,-4.68,0.38
192610,3.5,0.87,-5.6,0.35
192610,-4.08,-5.58,1.62,0.35
192610,3.45,-3.84,-2.89,0.43
192610,4.33,3.2,2.37,0.37
192610,-2.46,3.63,2.67,0.34
192610,4.77,3.48,-4.19,0.4
192610,-3.47,2.22,0.5,0.38
192610,-1.38,-1.3,-0.88,0.39
192610,-2.81,3.15,-2.99,0.39
192610,6.13,-6.86,-3.13,0.39
192610,3.37,7.96,-8.01,0.36
192610,7.72,7.24,-9.4,0.44
192610,-4.74,4.35,0.06,0.41
192610,2.45,22.32,-13.11,0.43
192610,5.2,-16.7,7.97,0.47
192610,-6.4,-7.87,9.29,0.46
192610,-4.42,-5.05,3.87,0.5
192610,4.64,13.72,-10.18,0.4
192610,-2.51,-2.76,8.55,0.48
192610,7.03,-0.94,-1.29,0.5
192610,-5.45,-1.94,6.82,0.51
192610,-2.76,-3.67,4.7,0.56
192610,-10.72,-3.12,12.29,0.51
192610,1.19,1.5,6.11,0.5
192610,3.13,7.08,-5.66,0.54
192610,-10.05,-1.17,13.91,0.38
192610,-7.26,0.54,6.22,0.42
192610,7.94,0.24,-4.38,0.39
192610,0.72,3.05,2.83,0.32
192610,-1.94,6.4,-2.28,0.28
192610,-2.13,-4.15,5.56,0.3
192610,-6.46,2.16,3.28,0.31
192610,-9.25,-6.54,1.82,0.28
192610,2.46,6.86,-7.15,0.22
192610,7.54,0.41,0.69,0.17
192610,1.61,5.13,0.47,0.15
192610,-1.44,1.15,3.39,0.14
192610,-2.29,-1.62,3.89,0.13
192610,4.24,4.31,1.12,0.13
192610,-5.2,5.9,4.21,0.15
192610,-1.38,-3.7,2.55,0.14
192610,-7.21,3.55,1.5,0.13
192610,-8.18,-5.22,-3.62,0.15
192610,0.5,-2.26,2.29,0.14
192610,-10.35,2.75,1.31,0.14
192610,7.84,-2.99,-6.45,0.14
192610,5.96,3.2,-1.59,0.12
192610,-5.76,-0.44,3.88,0.11
192610,-2.57,1.39,-0.82,0.1
192610,-1.88,-0.27,-1.45,0.09
192610,1.09,0.73,-1.58,0.1
192610,8.22,1.11,-0.09,0.1
192610,6.05,4.79,0.09,0.09
192610,1.42,1.5,0.71,0.1
192610,2.35,5.58,-2.04,0.07
192610,2.34,2.65,1.76,0.07
192610,-1.24,0.6,0.93,0.08
192610,6.08,2.89,1.69,0.07
192610,1.35,2.25,1.39,0.07
192610,4.29,-2.8,2.78,0.08
192610,2.15,2.63,1.66,0.07
192610,1.4,-1.19,0.44,0.06
192610,-1.32,1.9,-0.05,0.09
192610,-1.83,-2.57,-1.67,0.08
192610,1.17,-0.19,-0.26,0.06
192610,1.86,2.34,1.63,0.08
192610,-4.06,-3.77,4.56,0.1
192610,0.08,-1.57,1.24,0.11
192610,1.6,2.93,0.47,0.11
192610,1.43,0.39,-0.82,0.11
192610,4.54,4.13,1.94,0.15
192610,3.43,0.19,-0.37,0.16
192610,-2.76,-1.55,2.73,0.16
192610,1.89,-0.68,2.84,0.16
192610,-1.97,-1.36,1.7,0.21
192610,-2.61,-3.97,-0.45,0.21
192610,3.65,2.97,-1.21,0.24
192610,0.57,2.59,2.79,0.23
192610,3.92,2.77,-0.47,0.24
192610,-1.22,-0.85,1.47,0.3
192610,0.49,-0.68,1.11,0.29
192610,-2.02,-1,-0.67,0.27
192610,3.61,0.96,-1.85,0.31
192610,-0.25,-0.5,0.5,0.32
192610,3.04,5.31,1.17,0.35
192610,-0.3,-0.32,-0.85,0.34
192610,1.46,3.54,-0.14,0.37
192610,0.73,-1.25,3.06,0.36
192610,-3.57,-3.03,2.79,0.43
192610,-0.35,-0.55,1.49,0.4
192610,-0.78,-4,3.42,0.4
192610,2.03,0.81,-1.78,0.42
192610,1.84,-1.23,-0.5,0.41
192610,3.23,1.64,0.52,0.41
192610,1.71,0.78,0.53,0.42
192610,0.87,-0.9,2.55,0.4
192610,1.4,0.1,-0.05,0.44
192610,-1.96,1.35,0.23,0.38
192610,0.68,-0.27,0.37,0.43
192610,3.49,-2.07,-0.99,0.44
192610,3.24,-0.03,-0.17,0.41
192610,-1.96,0.75,-1.03,0.4
192610,-3.73,-2.67,-2.99,0.4
192610,0.92,-0.16,-2.32,0.42
192610,3.22,-2.45,-2.11,0.32
192610,1.8,0.11,-2.11,0.32
192610,-4.83,-2.78,-1.02,0.34
192610,-0.87,0.02,-0.01,0.27
192610,-6.36,-0.74,3.05,0.21
192610,-3.09,-0.55,0.01,0.13
192610,-0.93,0.8,0.24,0.17
192610,4.6,-1.52,-0.03,0.18
192610,1.86,3.03,-0.41,0.18
192610,-8.44,1.12,-1.02,0.17
192610,-0.77,3.56,3.64,0.15
192610,1.53,3.67,1.61,0.13
192610,-9.24,-0.32,4.36,0.15
192610,-17.23,-2.3,-2.96,0.08
192610,-7.86,-3.68,-5.02,0.03
192610,1.74,4,-1.19,0
192610,-8.12,-0.99,-9.67,0
192610,-10.1,-0.38,-6.9,0.01
192610,8.95,0.7,2.54,0.02
192610,10.19,5.35,5.22,0.01
192610,5.21,-2.63,0.58,0
192610,0.43,2.67,-2.39,0.01
192610,7.72,2.51,4.73,0.01
192610,3.33,-0.5,7.65,0.01
192610,4.08,2.43,1.35,0.01
192610,-2.59,-4.23,-4.35,0
192610,5.56,-2.61,0.23,0
192610,2.75,5.79,0.72,0.01
192610,-3.36,0.2,0.61,0
192610,3.4,1.44,2.74,0
192610,6.31,1.57,2.01,0.01
192610,2,4.92,3.12,0.01
192610,-7.89,-0.09,-2.32,0.01
192610,-5.56,-2.15,-4.27,0.01
192610,6.93,0.24,0.04,0.01
192610,-4.77,-3.03,-1.51,0.01
192610,9.54,3.84,-2.94,0.01
192610,3.88,1.01,-2.23,0.01
192610,0.6,3.69,-0.58,0.01
192610,6.82,0.85,3.47,0.01
192610,1.99,-2.4,0.68,0.01
192610,3.49,1.62,1.73,0.01
192610,0.45,2.68,-1.16,0.01
192610,2.9,-0.34,-2.15,0
192610,-1.27,-0.68,-2.12,0
192610,-1.75,-0.14,-0.26,0
192610,-2.36,-1.44,-1.18,0
192610,-5.99,-3.3,-1.58,0.01
192610,-7.59,-3.72,-0.98,0
192610,11.35,3.58,-0.96,0
192610,-0.28,-0.24,-0.18,0
192610,0.74,-0.55,1.57,0
192610,5.05,2.51,-2.14,0
192610,4.42,-1.65,0.01,0
192610,3.11,-0.27,-0.06,0
192610,-0.85,-0.63,-0.2,0
192610,-6.19,-0.11,0.08,0.01
192610,3.89,0.81,0.54,0
192610,0.79,-2.6,0.01,0
192610,2.55,0.69,0.6,0.01
192610,2.73,0.5,1.56,0.01
192610,-1.76,-1.07,4.16,0.01
192610,0.78,0.68,-1.12,0.01
192610,1.18,1.61,3.26,0.01
192610,5.57,0.5,1.34,0
192610,1.29,-0.4,0.28,0
192610,4.03,0.88,-0.07,0
192610,1.56,-2.4,0.35,0
192610,2.8,2,1.33,0
192610,-1.2,1.18,-0.4,0
192610,5.65,1.88,0.71,0
192610,-2.71,0.24,-2.48,0
192610,3.77,2.86,-1.57,0
192610,4.18,-1.55,1.36,0
192610,3.12,1.33,-0.38,0
192610,2.81,-0.43,-0.2,0
192610,-3.32,0.83,-1.88,0
192610,4.65,0.32,-0.49,0
192610,0.43,-1.81,4.6,0
192610,-0.19,-4.17,1.62,0
192610,2.06,-1.84,-0.38,0
192610,2.61,2.94,-0.6,0
192610,-2.04,-4.25,0.04,0
192610,4.23,0.5,-0.76,0
192610,-1.97,-3.8,-1.68,0
192610,2.52,4.28,-1.81,0
192610,2.55,-2.08,-3.37,0
192610,-0.06,2.6,1.56,0
192610,-3.11,-0.62,-3.06,0
192610,6.13,0.47,-2.16,0
192610,-1.12,3.14,-0.73,0
192610,0.59,-3.03,2.13,0
192610,1.36,0.95,-1.9,0
192610,-1.53,2.84,-1.04,0
192610,1.54,-4.17,-4.49,0
192610,-6.04,0.43,2.88,0
192610,-3.07,-2.71,0.73,0
192610,7.75,-1.86,-0.32,0
192610,0.56,3.55,-1.23,0
192610,-2.17,-2.99,-2.07,0.01
192610,-5.77,-3.66,3.13,0.01
192610,-0.07,0.73,-0.03,0.02
192610,6.96,0.84,1.3,0.02
,,,,
,,,,
Copyright 2016 Kenneth R. French,,,,
